run_index,scenario,seed,simulated_ebitda,simulated_contract_revenue,retained_pct_of_base_contract
1,base,42,933993.694611,2822821.112065,0.882132
2,base,42,990492.897092,3145673.697666,0.983023
3,base,42,856799.241740,2381709.952803,0.744284
4,base,42,945035.955947,2885919.748270,0.901850
5,base,42,819613.711441,2169221.208234,0.677882
6,base,42,917588.564565,2729077.511802,0.852837
7,base,42,942421.910977,2870982.348439,0.897182
8,base,42,919197.793319,2738273.104682,0.855710
9,base,42,947680.606094,2901032.034821,0.906573
10,base,42,899467.133991,2625526.479951,0.820477
11,base,42,942983.860693,2874193.489672,0.898185
12,base,42,855439.149416,2373937.996660,0.741856
13,base,42,983396.945749,3105125.404279,0.970352
14,base,42,816913.588808,2153791.936047,0.673060
15,base,42,906214.222018,2664081.268677,0.832525
16,base,42,853911.090791,2365206.233094,0.739127
17,base,42,910591.154571,2689092.311832,0.840341
18,base,42,910892.866472,2690816.379841,0.840880
19,base,42,802843.795023,2073393.114416,0.647935
20,base,42,978405.321172,3076601.835271,0.961438
21,base,42,947724.111291,2901280.635950,0.906650
22,base,42,821054.922681,2177456.701034,0.680455
23,base,42,868857.200647,2450612.575125,0.765816
24,base,42,851460.329572,2351201.883266,0.734751
25,base,42,905586.589915,2660494.799515,0.831405
26,base,42,943698.215715,2878275.518371,0.899461
27,base,42,951261.768269,2921495.818678,0.912967
28,base,42,935120.067034,2829257.525908,0.884143
29,base,42,979897.714274,3085129.795852,0.964103
30,base,42,984047.546339,3108843.121940,0.971513
31,base,42,966494.131462,3008537.894071,0.940168
32,base,42,983789.356785,3107367.753059,0.971052
33,base,42,910505.303490,2688601.734229,0.840188
34,base,42,895366.290832,2602093.090466,0.813154
35,base,42,972446.330786,3042550.461633,0.950797
36,base,42,947430.821082,2899604.691899,0.906126
37,base,42,943589.609948,2877654.913990,0.899267
38,base,42,859260.472938,2395774.131076,0.748679
39,base,42,991010.408374,3148630.904996,0.983947
40,base,42,952950.627901,2931146.445150,0.915983
41,base,42,952748.283587,2929990.191927,0.915622
42,base,42,987826.918908,3130439.536618,0.978262
43,base,42,936706.160408,2838320.916616,0.886975
44,base,42,988609.596886,3134911.982208,0.979660
45,base,42,996051.975070,3177439.857543,0.992950
46,base,42,875603.006877,2489160.039296,0.777863
47,base,42,978055.956849,3074605.467711,0.960814
48,base,42,990520.723593,3145832.706247,0.983073
49,base,42,814916.679509,2142381.025764,0.669494
50,base,42,857340.491473,2384802.808416,0.745251
51,base,42,902931.040345,2645320.230544,0.826663
52,base,42,861022.802458,2405844.585475,0.751826
53,base,42,910886.421796,2690779.553121,0.840869
54,base,42,922157.513298,2755185.790275,0.860996
55,base,42,994776.228232,3170149.875613,0.990672
56,base,42,944344.743011,2881969.960061,0.900616
57,base,42,824268.444957,2195819.685467,0.686194
58,base,42,879017.736932,2508672.782470,0.783960
59,base,42,828686.133304,2221063.618882,0.694082
60,base,42,909121.296796,2680693.124550,0.837717
61,base,42,945480.669532,2888460.968753,0.902644
62,base,42,990447.763597,3145415.791983,0.982942
63,base,42,902573.230412,2643275.602353,0.826024
64,base,42,984191.098065,3109663.417515,0.971770
65,base,42,825892.434129,2205099.623597,0.689094
66,base,42,944983.423196,2885619.561119,0.901756
67,base,42,854712.881230,2369787.892741,0.740559
