run_index,scenario,seed,simulated_ebitda,simulated_contract_revenue,retained_pct_of_base_contract
1,de_risked,42,990528.981650,3145879.895143,0.983087
2,de_risked,42,955835.268640,2947630.106512,0.921134
3,de_risked,42,902181.862774,2641039.215854,0.825325
4,de_risked,42,958404.641829,2962312.239020,0.925723
5,de_risked,42,959158.991262,2966622.807212,0.927070
6,de_risked,42,902052.814307,2640301.796040,0.825094
7,de_risked,42,996025.053349,3177286.019137,0.992902
8,de_risked,42,902617.914617,2643530.940671,0.826103
9,de_risked,42,998725.569012,3192717.537210,0.997724
10,de_risked,42,957596.133323,2957692.190418,0.924279
11,de_risked,42,992224.418499,3155568.105711,0.986115
12,de_risked,42,1000766.255145,3204378.600826,1.001368
13,de_risked,42,999447.967967,3196845.531241,0.999014
14,de_risked,42,863441.361617,2419664.923524,0.756145
15,de_risked,42,864147.608008,2423700.617188,0.757406
16,de_risked,42,902232.473575,2641328.420429,0.825415
17,de_risked,42,920950.425541,2748288.145947,0.858840
18,de_risked,42,1001818.678515,3210392.448657,1.003248
19,de_risked,42,994239.671497,3167083.837126,0.989714
20,de_risked,42,996413.520885,3179505.833628,0.993596
21,de_risked,42,1003391.135369,3219377.916393,1.006056
22,de_risked,42,1002425.869630,3213862.112170,1.004332
23,de_risked,42,959420.282972,2968115.902694,0.927536
24,de_risked,42,1000083.414748,3200476.655705,1.000149
25,de_risked,42,903608.804875,2649193.170716,0.827873
26,de_risked,42,956995.213085,2954258.360488,0.923206
27,de_risked,42,997323.996051,3184708.548866,0.995221
28,de_risked,42,996983.680066,3182763.886094,0.994614
29,de_risked,42,904298.968869,2653136.964963,0.829105
30,de_risked,42,997315.148294,3184657.990252,0.995206
31,de_risked,42,994694.784906,3169684.485178,0.990526
32,de_risked,42,995172.931311,3172416.750349,0.991380
33,de_risked,42,994571.148572,3168977.991840,0.990306
34,de_risked,42,958245.289340,2961401.653372,0.925438
35,de_risked,42,996522.404746,3180128.027122,0.993790
36,de_risked,42,862847.915228,2416273.801304,0.755086
37,de_risked,42,902934.778301,2645341.590292,0.826669
38,de_risked,42,999965.756092,3199804.320524,0.999939
39,de_risked,42,996391.627516,3179380.728661,0.993556
40,de_risked,42,998467.745543,3191244.260247,0.997264
41,de_risked,42,955132.225583,2943612.717615,0.919879
42,de_risked,42,997236.002079,3184205.726168,0.995064
43,de_risked,42,998437.654471,3191072.311261,0.997210
44,de_risked,42,961855.437092,2982031.069094,0.931885
45,de_risked,42,994139.048023,3166508.845846,0.989534
46,de_risked,42,999030.723415,3194461.276657,0.998269
47,de_risked,42,824725.978195,2198434.161113,0.687011
48,de_risked,42,901561.966945,2637496.953972,0.824218
49,de_risked,42,963547.550723,2991700.289843,0.934906
50,de_risked,42,957985.939063,2959919.651788,0.924975
51,de_risked,42,957838.392789,2959076.530223,0.924711
52,de_risked,42,963878.743020,2993592.817259,0.935498
53,de_risked,42,998437.042267,3191068.812954,0.997209
54,de_risked,42,957264.670107,2955798.114900,0.923687
55,de_risked,42,962281.579365,2984466.167802,0.932646
56,de_risked,42,998197.129722,3189697.884128,0.996781
57,de_risked,42,1001602.056609,3209154.609193,1.002861
58,de_risked,42,997743.178096,3187103.874836,0.995970
59,de_risked,42,957526.542241,2957294.527090,0.924155
60,de_risked,42,905934.457830,2662482.616172,0.832026
61,de_risked,42,997141.538092,3183665.931953,0.994896
62,de_risked,42,884303.741503,2538878.522874,0.793400
