run_index,scenario,seed,simulated_ebitda,simulated_contract_revenue,retained_pct_of_base_contract
1,downside,42,873837.009624,2562813.179920,0.800879
2,downside,42,958910.223332,2992475.875412,0.935149
3,downside,42,776044.081104,2068909.500528,0.646534
4,downside,42,891325.334560,2651138.053331,0.828481
5,downside,42,711372.916453,1742287.456833,0.544465
6,downside,42,853853.128413,2461884.486935,0.769339
7,downside,42,888199.407044,2635350.540627,0.823547
8,downside,42,856360.018654,2474545.548757,0.773295
9,downside,42,843475.131815,2409470.362701,0.752959
10,downside,42,757414.289764,1974819.645272,0.617131
11,downside,42,888643.965919,2637595.787472,0.824249
12,downside,42,827875.353132,2330683.601676,0.728339
13,downside,42,693023.916989,1649615.742367,0.515505
14,downside,42,779743.715601,2087594.523240,0.652373
15,downside,42,582213.677049,1089968.065902,0.340615
16,downside,42,708138.894640,1725954.013334,0.539361
17,downside,42,767488.665691,2025700.331775,0.633031
18,downside,42,899992.796280,2694913.112526,0.842160
19,downside,42,525769.211193,804895.006026,0.251530
20,downside,42,716627.045501,1768823.462129,0.552757
21,downside,42,709716.494772,1733921.690769,0.541851
22,downside,42,759116.647376,1983417.410987,0.619818
23,downside,42,602422.722398,1192033.951505,0.372511
24,downside,42,754465.073019,1959924.611206,0.612476
25,downside,42,587430.252199,1116314.405047,0.348848
26,downside,42,707572.147014,1723091.651584,0.538466
27,downside,42,962556.419367,3010891.006905,0.940903
28,downside,42,821210.544811,2297022.953593,0.717820
29,downside,42,889675.642182,2642806.273645,0.825877
30,downside,42,845213.595527,2418250.482459,0.755703
31,downside,42,944224.174170,2918303.909950,0.911970
32,downside,42,832469.677437,2353887.259783,0.735590
33,downside,42,831657.087545,2349783.270431,0.734307
34,downside,42,936066.477031,2877103.419347,0.899095
35,downside,42,719844.407240,1785072.763839,0.557835
36,downside,42,933732.121130,2865313.743081,0.895411
37,downside,42,951255.005290,2953813.158028,0.923067
38,downside,42,709567.902637,1733171.225441,0.541616
39,downside,42,710135.223664,1736036.483152,0.542511
40,downside,42,714019.296197,1755653.011098,0.548642
41,downside,42,911715.003375,2754116.178664,0.860661
42,downside,42,911465.972881,2752858.448895,0.860268
43,downside,42,908438.797629,2737569.684995,0.855491
44,downside,42,953911.509670,2967229.846819,0.927259
45,downside,42,878193.074363,2584813.506883,0.807754
46,downside,42,955740.709413,2976468.229357,0.930146
47,downside,42,968455.579041,3040684.742632,0.950214
48,downside,42,792104.717312,2150023.824806,0.671882
49,downside,42,883724.906892,2612752.055011,0.816485
50,downside,42,771340.295667,2045153.008421,0.639110
51,downside,42,847670.702921,2430660.115762,0.759581
52,downside,42,778889.951818,2083282.584941,0.651026
53,downside,42,849821.431132,2441522.379454,0.762976
54,downside,42,769973.176333,2038248.365319,0.636953
55,downside,42,715758.602038,1764437.384032,0.551387
56,downside,42,708234.120110,1726434.950049,0.539511
57,downside,42,836949.027264,2376510.238709,0.742659
58,downside,42,892086.940583,2654984.548398,0.829683
59,downside,42,658724.902499,1476388.396460,0.461371
60,downside,42,802900.629266,2204548.632655,0.688921
61,downside,42,766404.334404,2020223.911131,0.631320
62,downside,42,770476.876075,2040792.303411,0.637748
63,downside,42,705294.407806,1711587.918214,0.534871
64,downside,42,841234.544288,2398154.264080,0.749423
65,downside,42,903437.511197,2712310.662613,0.847597
66,downside,42,962340.614882,3009801.085261,0.940563
67,downside,42,912160.796444,2756367.658809,0.861365
68,downside,42,732048.990766,1846712.074578,0.577098
69,downside,42,714863.505397,1759916.693924,0.549974
70,downside,42,774416.449573,2060689.139258,0.643965
71,downside,42,910784.008361,2749414.183644,0.859192
72,downside,42,905510.337521,2722779.482432,0.850869
73,downside,42,695912.749272,1664205.804406,0.520064
74,downside,42,928641.785451,2839604.977027,0.887377
75,downside,42,717290.257418,1772173.017262,0.553804
76,downside,42,887768.915295,2633176.339873,0.822868
77,downside,42,683396.147718,1600990.645043,0.500310
78,downside,42,812511.893463,2253090.371027,0.704091
79,downside,42,828579.439051,2334239.591166,0.729450
80,downside,42,667233.682951,1519362.035108,0.474801
81,downside,42,821981.554307,2300916.940944,0.719037
82,downside,42,685915.488936,1613714.590584,0.504286
83,downside,42,938878.018929,2891303.125903,0.903532
84,downside,42,654813.228059,1456632.464942,0.455198
85,downside,42,770044.706690,2038609.629746,0.637066
86,downside,42,896598.964824,2677772.549614,0.836804
87,downside,42,765027.075548,2013268.058324,0.629146
88,downside,42,959840.003712,2997171.735921,0.936616
89,downside,42,722134.361109,1796638.187419,0.561449
90,downside,42,879565.880680,2591746.872121,0.809921
91,downside,42,847893.877268,2431787.258928,0.759934
92,downside,42,793038.335462,2154739.067991,0.673356
93,downside,42,767592.886065,2026226.697298,0.633196
94,downside,42,697017.511544,1669785.411839,0.521808
95,downside,42,638282.397440,1373143.421413,0.429107
96,downside,42,806074.900155,2220580.303813,0.693931
97,downside,42,712681.786827,1748897.913270,0.546531
98,downside,42,760197.655778,1988877.049384,0.621524
99,downside,42,765518.470939,2015749.853226,0.629922
100,downside,42,828602.727867,2334357.211447,0.729487
101,downside,42,954634.219371,2970879.895815,0.928400
102,downside,42,767025.767163,2023362.460420,0.632301
103,downside,42,831441.615593,2348695.028249,0.733967
104,downside,42,907926.069164,2734980.147293,0.854681
105,downside,42,910402.676142,2747488.263344,0.858590
106,downside,42,856787.359111,2476703.833892,0.773970
107,downside,42,911794.735746,2754518.867403,0.860787
108,downside,42,822461.932684,2303343.094363,0.719795
109,downside,42,916831.044802,2779954.771729,0.868736
110,downside,42,713318.676396,1752114.527250,0.547536
111,downside,42,912715.254334,2759167.951182,0.862240
112,downside,42,785302.756002,2115670.484858,0.661147
113,downside,42,843558.259216,2409890.198062,0.753091
114,downside,42,760200.489807,1988891.362659,0.621529
115,downside,42,961707.881385,3006605.461540,0.939564
116,downside,42,900171.879888,2695817.575194,0.842443
117,downside,42,884213.357203,2615218.975773,0.817256
118,downside,42,782096.408143,2099476.808804,0.656087
119,downside,42,684318.438843,1605648.681025,0.501765
120,downside,42,825131.091603,2316823.694965,0.724007
121,downside,42,894881.266335,2669097.304723,0.834093
122,downside,42,721790.348806,1794900.751543,0.560906
123,downside,42,961036.507262,3003214.683141,0.938505
124,downside,42,626974.879536,1316034.745130,0.411261
125,downside,42,692604.508423,1647497.517290,0.514843
126,downside,42,598855.461485,1174017.482249,0.366880
127,downside,42,812319.934286,2252120.880235,0.703788
128,downside,42,901382.624918,2701932.449083,0.844354
129,downside,42,656864.771219,1466993.794036,0.458436
130,downside,42,700026.323315,1684981.430885,0.526557
131,downside,42,857251.171134,2479046.318860,0.774702
